time,lat,lon,altitude,accuracy,speed,angle
1697716641883,41.4625113,-8.4329323,427.0,2.25,1.410,5.0
1697716642884,41.4625113,-8.4329323,427.0,2.25,1.410,3.0
1697716643884,41.4625113,-8.4329323,427.0,2.25,1.410,0.0
1697716644883,41.4625552,-8.4329214,446.0,2.22,1.330,1.0
1697716645883,41.4625552,-8.4329214,446.0,2.22,1.330,3.0
1697716646903,41.4625909,-8.4329014,447.9,2.50,1.262,1.0
1697716647903,41.4625909,-8.4329014,447.9,2.50,1.262,0.0
1697716648903,41.4625909,-8.4329014,447.9,2.50,1.262,2.0
1697716649913,41.4626203,-8.43289,449.3,2.08,1.212,2.0
1697716650903,41.4626203,-8.43289,449.3,2.08,1.212,6.0
1697716651903,41.4626203,-8.43289,449.3,2.08,1.212,4.0
1697716652903,41.4626493,-8.4328819,450.1,2.07,1.131,7.0
1697716653903,41.4626493,-8.4328819,450.1,2.07,1.131,10.0
1697716654904,41.4626493,-8.4328819,450.1,2.07,1.131,14.0
1697716655903,41.4626773,-8.4328789,450.0,2.10,1.080,18.0
1697716656903,41.4626773,-8.4328789,450.0,2.10,1.080,22.0
1697716657903,41.4626773,-8.4328789,450.0,2.10,1.080,18.0
1697716658903,41.4627012,-8.4328718,449.9,2.15,1.016,25.0
1697716659903,41.4627012,-8.4328718,449.9,2.15,1.016,20.0
1697716660903,41.4627012,-8.4328718,449.9,2.15,1.016,22.0
1697716661903,41.4627338,-8.432874,449.7,2.55,1.025,18.0
1697716662903,41.4627338,-8.432874,449.7,2.55,1.025,15.0
1697716663903,41.4627338,-8.432874,449.7,2.55,1.025,26.0
1697716664903,41.4627638,-8.4328682,449.2,2.27,0.979,21.0
1697716665904,41.4627638,-8.4328682,449.2,2.27,0.979,21.0
1697716666923,41.4627638,-8.4328682,449.2,2.27,0.979,19.0
1697716667923,41.462806,-8.4328529,447.0,2.30,1.141,24.0
1697716668924,41.462806,-8.4328529,447.0,2.30,1.141,16.0
1697716669924,41.462806,-8.4328529,447.0,2.30,1.141,10.0
1697716670924,41.4628459,-8.4328387,445.3,2.37,1.199,7.0
1697716671924,41.4628459,-8.4328387,445.3,2.37,1.199,6.0
1697716672923,41.4628459,-8.4328387,445.3,2.37,1.199,8.0
1697716673946,41.4628738,-8.4328164,444.1,2.93,1.270,6.0
1697716674943,41.4628738,-8.4328164,444.1,2.93,1.270,10.0
1697716675943,41.4628738,-8.4328164,444.1,2.93,1.270,9.0
1697716676943,41.4628977,-8.432778,443.3,3.54,1.215,9.0
1697716677944,41.4628977,-8.432778,443.3,3.54,1.215,10.0
1697716678943,41.4628977,-8.432778,443.3,3.54,1.215,10.0
1697716679943,41.4629176,-8.432747,440.4,3.36,1.143,9.0
1697716680943,41.4629176,-8.432747,440.4,3.36,1.143,9.0
1697716681964,41.4629176,-8.432747,440.4,3.36,1.143,12.0
1697716682963,41.4629405,-8.4327243,439.9,3.26,1.156,15.0
1697716683964,41.4629405,-8.4327243,439.9,3.26,1.156,14.0
1697716684964,41.4629679,-8.4326958,437.7,3.24,1.293,28.0
